существительное,damp,wet
cloth,89755,63804
air,59320,19347
weather,49834,212569
earth,49445,29249
place,46466,37310
ground,37764,59674
soil,36656,81469
hair,33038,62781
climate,28027,25918
sand,27313,85444
towel,24080,55390
grass,21522,67234
condition,19149,51735
wood,18163,23753
atmosphere,18103,2028
paper,17427,29490
wall,17425,5977
sponge,16889,23396
cellar,15437,1188
night,15169,28599
heat,14540,9849
clothes,14313,103164
situation,12839,4704
day,12755,72813
spot,11863,28324
wind,11360,11186
hand,10702,29358
moss,10111,10322
rag,10107,24091
area,9978,41757
clay,9531,46261
room,9490,2395
sheet,9377,33093
floor,9302,16007
patch,9286,8640
stone,9211,14475
chill,8857,982
forehead,8665,2489
skin,8651,14940
leaf,7861,27426
forest,7638,21152
basement,7600,2030
squib,7453,93
surface,7355,30460
meadow,7108,33301
mist,7016,4266
bed,6567,7243
smell,6343,1824
morning,6280,11233
straw,5692,7334
palm,5673,2833
fog,5573,3948
house,5542,617
cotton,5520,10831
clothing,5335,23480
curl,5126,2363
cell,5076,10546
winter,4971,27278
face,4967,21430
cheek,4623,16666
proof,4594,541
location,4562,8402
environment,4443,9709
course,4429,259
washcloth,4409,7397
cold,4350,924
handkerchief,4308,7958
body,4195,13155
rock,4103,17978
shirt,4078,10475
brow,3751,1487
state,3700,15380
cave,3695,1573
evening,3686,6299
blanket,3579,40688
dungeon,3489,218
finger,3472,18196
darkness,3427,3020
breeze,3406,1118
plaster,3401,14884
eye,3387,26636
wool,3330,8233
foot,3161,35219
strand,3014,4014
corner,2916,987
locality,2869,1371
brush,2762,8398
field,2737,14607
sawdust,2690,2567
summer,2686,26934
linen,2657,6076
chamber,2621,1452
hollow,2610,1606
mud,2607,16320
peat,2594,3386
tendril,2494,720
stain,2480,3868
snow,2479,38419
piece,2447,4192
pavement,2445,21155
season,2440,272010
material,2438,12438
region,2409,8549
vault,2408,102
valley,2307,2249
hay,2279,3082
newspaper,2253,5397
country,2239,3843
hole,2238,3221
coat,2172,10883
street,2151,16065
powder,2127,2824
breath,2125,1123
shade,2088,213
woodland,2072,2440
tissue,2069,12940
autumn,2043,5476
land,1990,46374
tea,1989,1861
spring,1982,14620
brick,1938,2502
kitchen,1917,586
sea,1879,2194
mop,1876,4663
warmth,1848,2045
garden,1845,2241
head,1830,6519
habitat,1812,4751
grain,1806,4703
dirt,1796,4218
cloud,1785,2801
part,1771,5532
flesh,1709,2969
pasture,1673,3871
leather,1670,7046
shadow,1582,654
dish,1582,1955
log,1568,2597
fabric,1553,3630
salt,1552,2259
mould,1509,941
garment,1469,11433
site,1461,10125
filter,1423,7204
flannel,1423,2441
prison,1405,101
coolness,1398,275
sphagnum,1383,1036
odor,1362,265
shoulder,1354,2277
sock,1353,6956
side,1341,7955
shoe,1341,11767
lock,1333,1277
lawn,1322,2871
path,1321,3036
napkin,1316,3126
vapour,1308,1359
neck,1306,1275
mass,1296,9165
nose,1268,10804
surroundings,1250,598
November,1216,1844
tunnel,1215,863
jungle,1215,2195
fur,1212,5274
pillow,1204,1293
kiss,1193,16425
bread,1191,1439
passage,1178,761
one,1177,9275
cement,1173,11202
concrete,1149,15423
turf,1141,2078
fold,1130,1806
inside,1109,2692
ash,1103,4950
afternoon,1094,8954
dust,1092,2229
vegetation,1091,1595
lowland,1084,4393
cheesecloth,1083,797
building,1071,296
blotting,1069,2109
lip,1047,10151
chest,1035,762
gust,1034,446
quarter,1026,364
thing,1025,12940
mountain,1024,2365
cavern,1016,357
gloom,1006,530
sweat,1006,300
bank,1002,2856
bedding,995,1514
corridor,992,153
grassland,986,4734
thicket,970,973
boot,951,9912
box,944,813
weed,939,2164
road,937,17838
cloak,917,3401
explosion,913,138
rot,893,5725
gauze,881,3555
skirt,875,3147
cardboard,874,1865
river,874,1084
feeling,873,864
position,873,522
board,870,2195
depression,869,1954
sod,867,1001
pine,863,2044
trail,860,3084
circle,858,2268
soul,852,286
ravine,848,535
wash,848,5918
fuel,847,2591
carpet,844,1650
tree,837,3882
match,837,1140
recess,829,147
gravel,829,4689
oak,826,456
church,824,265
scent,823,471
T,821,5403
dress,817,3805
grave,815,598
outside,814,2207
odour,809,87
period,806,25985
storage,802,2977
mark,798,1841
ditch,792,13200
sack,783,4537
dew,769,513
ringlet,748,458
bottom,745,2979
plain,738,1446
stick,732,1294
tent,731,2108
vapor,729,2407
interior,727,430
canvas,727,4795
coldness,725,233
foliage,715,2682
jacket,714,4553
laundry,713,4225
press,713,1203
coal,712,3709
burlap,708,4108
crevice,708,280
slope,706,1714
step,702,1664
bark,700,2110
problem,681,64
silk,679,2247
mine,678,1215
muslin,675,1330
trench,668,2246
cigarette,663,906
string,655,3195
space,654,654
stocking,647,1904
ball,645,3093
print,643,2938
district,641,2183
wisp,641,283
footprint,639,4114
mixture,639,7037
edge,638,3627
hut,637,63
mattress,634,769
litter,633,1389
mold,631,1325
glass,627,6145
jean,627,2105
sleeve,625,2424
layer,623,2427
timber,622,1277
tangle,621,940
trouser,618,2537
undergrowth,613,688
seaweed,610,2482
feel,606,449
end,599,9097
arm,595,3144
island,593,647
nature,591,832
marsh,585,3377
bathing,584,6465
ring,583,2201
mouth,581,7674
dog,577,13755
beach,571,2874
leg,568,2467
home,568,354
seat,565,1198
December,563,972
October,559,1343
dishcloth,553,910
gunpowder,551,802
wad,550,831
loam,549,1240
tobacco,547,849
pocket,545,967
mortar,545,2604
alley,544,318
pad,542,2121
page,541,749
deck,538,7030
wing,533,2681
substance,530,1619
pit,526,1642
bundle,522,1109
silence,520,197
dawn,520,1026
pile,520,775
underwear,516,1442
haze,514,491
flag,513,991
duster,513,247
heap,509,1014
sidewalk,499,3270
spell,496,6862
blotter,495,771
fire,494,878
light,493,1600
fern,493,1375
month,489,10431
feather,488,2702
sleeping,485,1076
lash,482,2725
bench,479,1825
out,477,1174
sky,476,2071
washing,474,1515
object,471,1242
overcoat,471,1318
steam,470,18668
wheat,470,626
raincoat,469,1976
bath,469,1143
book,466,780
wave,463,633
streak,462,1792
compress,460,10682
twilight,459,363
weight,459,95895
twig,458,704
gully,457,502
humus,453,309
track,453,3004
March,451,885
rain,448,2687
suit,448,41815
seed,447,1834
line,446,4057
dishtowel,445,274
mopping,444,608
bag,442,3026
asphalt,441,4167
hill,441,1653
firework,436,58
year,433,39382
root,432,1147
way,430,10392
clump,429,1031
London,427,582
curtain,426,578
woolen,426,825
city,426,1153
embrace,426,585
cast,426,1300
hall,425,41
sacking,425,845
portion,425,1839
touch,418,712
shelter,417,177
roof,416,2563
vermiculite,412,140
flower,412,1736
sugar,410,1739
ceiling,410,211
freshness,408,125
depth,408,395
breast,399,900
panty,399,841
walk,395,2220
sheen,395,818
fragrance,394,203
flour,392,1146
bush,391,2196
tile,389,2448
February,387,668
cushion,386,298
shore,385,1192
chamois,384,252
temple,383,130
court,383,219
food,382,3968
branch,381,3502
smoke,381,647
decay,380,241
swab,378,1459
thigh,377,746
umbrella,376,3530
mother,374,93
April,372,1002
substrate,372,1179
copy,371,234
world,370,2386
tomb,369,64
courtyard,368,274
muzzle,367,1273
fall,367,1719
lane,365,556
living,364,134
firewood,364,452
cabin,361,140
medium,357,2131
strip,355,1712
uniform,353,1323
rope,349,4426
gas,349,11911
hide,349,3323
masonry,349,277
drizzle,346,286
lodging,346,234
bang,344,317
dressing,343,19866
cobblestone,341,1841
mat,339,2226
hold,336,144
park,334,244
paint,333,18187
film,333,8194
charcoal,332,563
dusting,331,63
hillside,330,752
flat,327,792
collar,327,385
foundation,325,426
zone,325,12406
glove,320,1953
cover,320,578
draft,320,62
tress,319,450
border,319,554
limestone,319,1439
cigar,317,841
blouse,317,935
section,314,1763
stillness,313,73
shroud,313,601
subsoil,313,875
flake,310,3849
heath,308,3041
sweater,307,608
corn,306,2028
veil,306,512
green,306,860
compost,304,511
pant,303,5542
flagstone,303,632
appearance,299,834
bar,299,28347
pebble,297,1765
chilliness,297,114
underfoot,296,1288
herbage,291,387
rice,290,32207
draught,289,139
apron,289,547
barn,287,82
nest,285,497
rubber,285,2624
soot,284,346
paste,283,1957
stranger,282,178
blackness,281,742
misery,281,412
bit,281,531
margin,281,775
boat,280,808
lump,276,864
bathroom,275,372
diaper,274,12640
armpit,273,207
mound,271,444
aggregate,271,992
rush,271,578
firecracker,270,491
wallpaper,270,222
gown,269,1080
swimsuit,269,1094
membrane,267,1602
robe,267,957
back,266,1590
waste,265,1752
dusk,265,429
look,265,2606
Sunday,264,5832
passageway,264,41
hour,262,506
clod,260,438
marble,260,1177
imprint,260,426
impression,259,289
table,258,1366
work,257,6102
tongue,256,8470
discomfort,255,188
window,254,1487
Kleenex,249,571
fingertip,249,806
cake,248,2708
crack,248,545
time,247,3923
plant,245,1969
cobble,245,1406
rug,241,643
prairie,240,9602
bog,240,2144
stuff,240,3703
covering,239,504
article,239,959
England,238,172
September,238,772
yard,238,484
paw,237,1138
spray,237,2082
hessian,237,399
faggot,236,136
gallery,234,45
cliff,234,742
water,233,2774
tropic,233,9276
death,233,278
paintbrush,232,619
pot,230,690
stair,230,414
voice,229,567
facecloth,228,336
softness,228,303
swamp,227,1943
vegetable,226,455
brickwork,226,119
square,226,326
cheese,226,363
quilt,225,621
metal,225,1647
slab,225,1015
foam,223,1401
hedge,223,418
trunk,223,1300
plank,223,2055
coffee,222,660
fiber,221,1543
spike,221,243
drop,219,1820
moor,218,1041
short,217,868
magazine,217,118
hallway,217,45
plate,217,10971
bill,216,283
level,216,402
January,216,815
hat,215,1770
form,215,4488
furrow,215,639
bandage,211,5391
dark,211,357
mess,210,1138
obscurity,208,62
curve,207,430
debris,207,488
ore,207,971
ledge,207,392
splotch,206,504
good,205,2587
baby,204,1480
moisture,204,203
mix,203,4237
growth,203,702
pack,202,12530
block,202,521
handshake,201,217
biscuit,199,336
fist,198,463
bone,198,1624
ink,198,5698
velvet,197,710
manure,197,1579
bunk,197,307
stench,196,118
shop,196,70
graf,196,185
thread,195,1174
envelope,195,128
fringe,195,236
heather,195,889
comb,194,1091
tip,193,1016
shelf,193,123
bedclothes,192,240
stretch,192,495
newsprint,192,260
cavity,191,283
coast,191,480
roadside,191,354
packing,191,924
trace,191,296
thatch,190,277
phlegm,190,58
terrain,190,821
saddle,189,1342
lime,189,1946
crotch,189,391
sort,187,178
sweetness,186,175
swale,184,655
ride,184,1632
gentleman,184,45
shawl,183,557
iron,183,991
dishrag,183,1295
temperature,183,392
canyon,183,216
horse,183,1633
blast,181,565
meat,181,732
smile,180,771
eyelash,180,1272
rail,179,1639
heart,179,443
greenness,178,113
sample,178,6344
reed,178,570
coil,178,676
Saturday,178,1750
glade,177,162
sound,177,3261
woollen,176,819
base,175,786
bivouac,175,370
tweed,175,234
staircase,174,44
pressure,172,465
cleaning,171,4570
doorstep,171,159
countryside,171,318
cottonwool,171,137
bottle,170,879
broom,170,719
perspiration,169,129
crawl,169,149
fly,169,31142
terry,169,118
cleft,169,165
sheep,167,1225
letter,167,396
fuse,167,212
nightgown,167,439
Air,167,77
rainforest,165,420
confines,165,51
August,165,936
tinder,165,188
pattern,165,756
pair,164,480
nostril,163,448
today,162,671
word,162,300
absorbent,161,644
June,160,1005
litmus,159,315
denim,158,481
core,158,1402
curing,158,650
beard,157,929
chalk,157,1012
spread,157,99
people,157,810
clinging,156,397
khaki,155,276
product,155,1799
granite,155,737
crystal,154,976
landscape,154,899
sail,153,2407
limb,153,670
kind,153,415
toweling,153,234
kindling,153,189
New,153,363
underside,152,78
clearing,152,78
stream,152,803
washrag,152,531
steel,151,1220
mulch,151,165
phase,151,6229
underneath,151,415
cedar,150,382
parchment,149,871
tundra,149,2166
chimney,149,63
roll,149,464
center,148,701
greenery,148,205
pipe,148,2203
shrubbery,147,376
owing,147,242
town,147,563
shingle,147,683
den,147,53
grip,147,575
note,147,191
savanna,147,1836
bowel,146,52
upland,146,720
mantle,146,390
wrapping,146,428
spruce,145,291
petal,145,383
grasp,144,92
copse,144,41
child,144,724
dough,143,1254
nipple,143,441
lace,143,334
blood,143,2997
moonlight,143,106
substratum,143,270
character,141,238
potato,140,670
starch,140,930
flank,140,638
pulp,140,4143
crust,140,234
grove,140,46
chemise,139,342
pool,139,786
ruin,139,177
misty,139,69
wilderness,139,357
kerchief,138,261
scrap,138,299
thumb,137,1018
cracker,136,144
knee,136,667
sensation,135,744
quality,134,300
scarf,133,422
residue,133,905
tunic,133,472
chip,133,513
animal,133,1140
ship,133,805
item,133,737
toilet,132,1129
hem,131,447
north,131,242
cellulose,130,572
cap,130,773
package,130,267
paving,130,567
silver,129,767
couch,129,146
cause,129,686
ear,129,885
setting,129,312
fir,129,219
silt,128,678
furniture,128,79
gleam,128,643
sediment,128,4267
fibre,128,746
scalp,128,397
willow,127,427
drive,127,486
deposit,127,727
outdoors,126,170
underbrush,126,529
insulation,126,1067
bandanna,126,346
sneaker,126,1132
throat,126,353
belt,125,1262
ocean,125,211
perfume,125,93
feed,125,1863
puddle,125,628
bran,125,499
aroma,125,54
fish,124,5450
rotting,124,167
refuse,124,533
scrub,124,481
mane,123,432
overall,123,221
monsoon,123,5314
asbestos,123,1015
solid,123,2618
bracken,123,569
fragment,122,104
eyelid,122,605
clime,122,64
churchyard,121,60
stratum,121,333
caress,121,362
pajama,121,681
avenue,120,68
boulder,120,735
crag,120,45
contact,120,676
journey,120,911
cork,120,308
sedge,120,1270
blade,119,944
electrode,119,620
woman,119,781
crowd,119,235
rubbish,119,427
smear,118,3680
entrance,118,189
drapery,118,1077
sleep,118,85
belly,117,574
pastry,117,394
slime,117,681
grayness,117,67
increase,117,107
creek,116,212
doth,114,73
wick,114,993
door,113,215
bosom,113,150
sweatshirt,113,164
bagasse,113,376
snowflake,112,1284
nylon,112,498
life,112,701
toothbrush,112,406
hiding,112,108
sward,112,84
particle,111,1568
station,111,487
type,111,4588
July,110,741
hanky,110,371
stickiness,110,386
chestnut,110,131
break,109,173
porch,109,236
sol,109,304
driftwood,109,125
structure,108,69
chin,108,375
Pacific,108,268
ooze,107,240
clover,107,527
pussy,107,2943
brown,107,208
bottomland,106,618
matting,106,166
check,106,159
adobe,106,267
platform,105,739
swimming,105,545
satin,105,337
family,105,60
baking,105,172
birch,105,383
foxhole,104,209
moorland,104,739
soap,104,1549
violet,103,451
shift,103,377
lake,103,333
gold,103,466
car,103,527
shell,102,764
desert,102,946
oxygen,101,1414
store,101,71
man,101,941
lettuce,101,422
ware,100,535
slate,100,1446
wrist,100,155
underclothes,100,258
printing,100,710
tennis,99,603
pall,99,60
smudge,98,160
spiral,98,42
hammock,98,424
sun,98,477
triangle,98,541
brushwood,97,117
right,97,529
moustache,97,305
seeps,97,104
treatment,97,2564
tear,97,2202
knife,96,1322
evergreen,96,2802
meadowland,96,139
cinder,96,257
tarmac,96,1354
week,96,1794
trickle,96,364
needle,96,487
meal,96,591
shaft,95,618
stucco,95,342
rye,95,81
camp,95,789
run,95,1159
hedgerow,94,66
damage,94,124
tower,94,1099
lint,94,1719
Paris,94,96
lamp,93,131
topsoil,93,71
undershirt,93,146
filth,93,221
sandstone,93,521
humidity,93,65
everything,92,496
flight,92,162
penetrates,92,45
workshop,92,269
toe,91,338
gear,91,1360
muck,91,859
rifle,91,183
decaying,91,104
cocktail,90,92
slack,90,555
mash,90,6441
fruit,90,691
pathway,90,153
consistency,90,825
bonnet,89,85
Fig,89,354
herb,89,251
bra,89,187
pitch,89,317
hell,88,173
desolation,88,52
lead,88,390
opening,88,492
cluster,88,75
glow,87,88
copper,87,518
confetti,87,122
lady,87,86
shred,86,75
slip,86,1271
torso,86,126
Earth,85,128
length,85,640
coastland,85,76
musk,85,44
men,85,642
cape,85,497
bodice,84,123
ice,84,4100
outline,84,196
clutch,84,931
love,84,219
front,83,977
web,83,2551
alder,83,525
roller,83,407
woodwork,83,43
fungus,83,50
pen,83,479
slit,83,676
crease,83,472
tuft,83,219
stairway,83,40
carpeting,83,166
highway,83,957
knot,83,597
Monday,82,812
floorboard,82,137
figure,82,686
railing,82,221
mackintosh,82,694
midnight,82,93
business,82,368
planking,82,281
bikini,81,337
wrap,81,863
india,81,54
burial,81,49
steaming,81,107
niche,81,191
shower,81,427
breech,81,307
dollar,81,175
hankie,80,81
underpants,80,424
crumb,80,272
tank,79,464
creature,79,373
jute,79,151
morass,79,298
shaving,79,755
saw,79,928
lichen,79,185
greyness,79,44
stage,79,1377
blotch,79,287
village,79,976
Weather,79,635
sage,78,324
matter,78,567
grit,78,299
counter,78,312
sunlight,78,177
snap,78,188
snout,77,772
color,77,2144
rut,77,142
heaviness,77,80
expanse,76,279
t,76,771
top,76,384
change,76,161
point,76,935
lap,75,698
bandana,75,150
oven,75,42
wine,75,107
sheepskin,75,250
verdure,75,337
feature,75,146
plaid,75,88
swim,75,295
lining,75,116
emptiness,75,65
humanity,74,63
braid,73,332
raffia,73,84
toast,73,174
rim,73,476
rose,73,592
experience,73,161
stony,73,58
sex,72,689
cutting,72,668
chlorine,72,1095
method,72,16716
cow,72,1065
produce,72,206
shine,72,507
beech,72,127
bead,72,481
towelling,71,52
camel,71,202
mitten,70,973
nightshirt,70,78
disarray,70,48
cot,70,70
notebook,69,65
habit,69,166
flooring,69,113
hydrogen,69,2067
compartment,69,69
reception,69,75
Florida,69,66
card,69,205
element,69,1201
funnel,69,115
linoleum,69,227
cut,68,744
mustache,68,242
seep,68,127
acid,68,1307
greatcoat,68,224
equipment,68,362
poultice,68,469
stink,68,91
redwood,67,64
cartridge,67,148
cattle,67,302
forelock,67,61
blottingpaper,67,122
muscle,67,1305
vessel,66,270
whisker,66,154
thud,66,742
sill,66,108
dung,66,996
undergarment,66,175
hoof,66,64
moccasin,66,666
start,66,359
shit,65,164
Night,65,77
butterfly,65,131
stem,65,632
half,65,562
wadding,65,94
stall,65,104
petticoat,64,311
drift,64,291
news,64,62
screen,64,695
Friday,64,547
mask,63,262
trip,63,424
charge,63,394
painting,63,1642
gelatine,63,172
while,63,428
tatter,63,50
texture,63,179
drizzling,63,47
chicken,63,1107
tail,63,1318
hug,63,189
waterproof,62,228
seam,62,354
footstep,62,310
barley,62,261
orchard,62,377
bamboo,62,398
net,62,554
crown,62,79
San,62,63
taste,62,142
bough,62,658
soak,62,679
harvest,61,2568
sandal,61,359
money,61,318
beauty,61,67
fleece,61,574
canopy,61,854
hemp,61,377
sludge,61,5143
grey,60,142
banana,60,196
will,60,133
case,60,694
plastic,59,369
cord,59,564
northeast,59,53
background,59,339
beer,59,246
footgear,59,258
handful,59,149
breathing,58,199
calico,58,208
pyjama,58,160
bite,58,68
cage,58,51
stubble,58,256
gun,58,988
ponytail,58,135
hood,58,221
underwood,58,48
footpath,58,59
glue,58,1369
flush,58,283
mopped,58,68
vest,57,164
bird,57,1064
load,57,482
garbage,57,1797
process,57,27952
jar,57,104
set,57,562
shrub,57,277
stock,57,562
maize,56,170
whisper,56,198
saline,56,647
casting,56,216
chair,56,219
lumber,55,646
fodder,55,145
coke,55,349
container,55,184
basin,55,996
stomach,55,129
being,55,82
nightdress,55,71
gaze,55,127
corduroy,55,75
remnant,55,51
roadway,55,705
serge,55,76
self,55,166
lie,55,107
frond,55,161
costume,55,308
butt,54,310
worm,54,290
tights,54,102
cough,54,1350
murk,54,84
wrinkle,54,162
oat,54,120
echo,54,46
forearm,54,83
drawer,54,241
shirtfront,54,43
resistance,54,70
trade,54,521
distance,54,50
technique,54,3036
content,54,236
rust,54,279
kidney,54,96
bristle,53,144
tarpaulin,53,321
resin,53,1528
band,53,292
North,53,123
heathland,53,828
thickness,53,713
ammunition,53,138
lair,53,75
tablecloth,53,186
photograph,53,172
beam,53,151
plug,53,288
parcel,53,60
furnace,52,88
loaf,52,47
highland,52,408
bell,52,201
spoon,52,638
locker,52,203
V,52,133
South,52,98
knickers,52,240
halo,52,49
fear,52,93
snake,52,267
cellophane,52,279
Tuesday,52,391
frost,51,46
underclothing,51,119
graveyard,51,54
coating,51,1799
blob,51,370
tee,51,299
gunny,51,754
bedsheets,51,95
wagon,51,45
exposure,51,276
close,51,106
spinach,51,186
nappy,51,790
sink,51,483
meadowlands,50,79
rank,50,67
freight,50,56
blot,50,268
sunshine,50,71
sandwich,50,196
Northwest,50,102
cobweb,50,247
mineral,50,673
burst,49,74
bedsheet,49,104
mean,49,195
noise,49,828
putty,49,240
frock,49,146
buttock,49,118
bedroll,49,55
stalk,49,300
spine,49,44
oasis,49,225
tar,49,698
crescent,49,42
cooking,49,147
slipper,48,451
hardwood,48,127
soaking,48,147
cypress,48,68
behind,48,216
Figure,48,269
haystack,48,147
breeding,48,67
cargo,48,692
slap,48,1208
parking,48,282
camisole,48,59
parka,48,239
march,48,537
star,48,447
flood,47,251
ivory,47,65
summit,47,105
show,47,186
candle,47,198
sandbag,47,263
dab,46,116
ribbon,46,444
tin,46,228
stump,46,232
bale,46,325
range,46,406
footwear,46,219
precipitate,45,665
trash,45,295
affair,45,798
whiteness,45,91
channel,45,448
Virginia,45,50
terrace,45,362
sulphur,45,161
Spring,45,266
pillowcase,45,100
stub,45,107
skull,45,96
belonging,45,162
flax,45,157
yarn,45,490
dream,45,30689
remains,45,134
carriage,45,63
pole,45,204
alluvium,45,157
bean,44,1342
riverbank,44,45
industry,44,86
wrapper,44,220
womb,44,160
school,44,85
Gulf,44,69
boy,44,539
spark,44,232
May,44,676
husk,44,64
cup,44,2643
wallet,43,47
bathrobe,43,50
entry,43,195
off,43,278
mahogany,43,73
bay,43,90
stack,43,382
comfort,42,80
shock,42,239
forefinger,42,463
army,42,95
frame,42,227
lot,42,167
vine,42,385
rubble,42,108
south,42,273
cocoon,42,89
delta,41,191
coffin,41,54
burn,41,112
foil,41,227
ache,41,45
camping,41,80
patio,41,72
ghost,41,209
shale,41,375
issue,41,174
East,41,111
kid,41,222
elm,41,69
tonight,40,257
reality,40,78
pottery,40,70
humor,40,142
tub,40,128
emerald,40,151
bridge,40,196
Seattle,40,54
